2022-11-02 17:28:17,010 INFO     ts_ms:1667410083255 stream:{'bits_per_second': 1048572.8750093132, 'snd_cwnd': 91224, 'retransmits': 0, 'rttvar': 24610, 'end': 17.000059, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000029802322388, 'omitted': False, 'sender': True, 'rtt': 174486, 'bytes': 131072, 'start': 16.000056}
2022-11-02 17:28:17,010 INFO     ts_ms:1667410084255 stream:{'bits_per_second': 2097158.2500186265, 'snd_cwnd': 94120, 'retransmits': 0, 'rttvar': 37038, 'end': 18.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999970197677612, 'omitted': False, 'sender': True, 'rtt': 150577, 'bytes': 262144, 'start': 17.000059}
2022-11-02 17:28:17,011 INFO     ts_ms:1667410085255 stream:{'bits_per_second': 2097152, 'snd_cwnd': 63712, 'retransmits': 1, 'rttvar': 12458, 'end': 19.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 129501, 'bytes': 262144, 'start': 18.000056}
2022-11-02 17:28:17,011 INFO     ts_ms:1667410086255 stream:{'bits_per_second': 2097152, 'snd_cwnd': 68056, 'retransmits': 1, 'rttvar': 28375, 'end': 20.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 127913, 'bytes': 262144, 'start': 19.000056}
2022-11-02 17:28:17,011 INFO     ts_ms:1667410087255 stream:{'bits_per_second': 2097152, 'snd_cwnd': 60816, 'retransmits': 2, 'rttvar': 22503, 'end': 21.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 127996, 'bytes': 262144, 'start': 20.000056}
2022-11-02 17:28:17,011 INFO     ts_ms:1667410088255 stream:{'bits_per_second': 2097154.125002153, 'snd_cwnd': 46336, 'retransmits': 1, 'rttvar': 17617, 'end': 22.000055, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999989867210388, 'omitted': False, 'sender': True, 'rtt': 68362, 'bytes': 262144, 'start': 21.000056}
2022-11-02 17:28:17,011 INFO     ts_ms:1667410089255 stream:{'bits_per_second': 2097143.5000344513, 'snd_cwnd': 49232, 'retransmits': 0, 'rttvar': 4660, 'end': 23.000059, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000040531158447, 'omitted': False, 'sender': True, 'rtt': 66083, 'bytes': 262144, 'start': 22.000055}
2022-11-02 17:28:17,011 INFO     ts_ms:1667410090255 stream:{'bits_per_second': 2097158.2500186265, 'snd_cwnd': 49232, 'retransmits': 0, 'rttvar': 8426, 'end': 24.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999970197677612, 'omitted': False, 'sender': True, 'rtt': 43417, 'bytes': 262144, 'start': 23.000059}
2022-11-02 17:28:17,011 INFO     ts_ms:1667410091255 stream:{'bits_per_second': 2097152, 'snd_cwnd': 55024, 'retransmits': 0, 'rttvar': 9936, 'end': 25.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 62315, 'bytes': 262144, 'start': 24.000056}
2022-11-02 17:28:17,011 INFO     ts_ms:1667410092255 stream:{'bits_per_second': 2097145.7500186265, 'snd_cwnd': 50680, 'retransmits': 0, 'rttvar': 9902, 'end': 26.000059, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000029802322388, 'omitted': False, 'sender': True, 'rtt': 44126, 'bytes': 262144, 'start': 25.000056}
2022-11-02 17:28:17,011 INFO     ts_ms:1667410093255 stream:{'bits_per_second': 2097158.2500186265, 'snd_cwnd': 20272, 'retransmits': 1, 'rttvar': 10854, 'end': 27.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999970197677612, 'omitted': False, 'sender': True, 'rtt': 50680, 'bytes': 262144, 'start': 26.000059}
2022-11-02 17:28:17,011 INFO     ts_ms:1667410094255 stream:{'bits_per_second': 1048577.0625010766, 'snd_cwnd': 41992, 'retransmits': 0, 'rttvar': 13922, 'end': 28.000055, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999989867210388, 'omitted': False, 'sender': True, 'rtt': 72177, 'bytes': 131072, 'start': 27.000056}
2022-11-02 17:28:17,012 INFO     ts_ms:1667410095255 stream:{'bits_per_second': 2097150.0000019073, 'snd_cwnd': 31856, 'retransmits': 1, 'rttvar': 11026, 'end': 29.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000009536743164, 'omitted': False, 'sender': True, 'rtt': 89899, 'bytes': 262144, 'start': 28.000055}
2022-11-02 17:28:17,012 INFO     ts_ms:1667410096255 stream:{'bits_per_second': 2097137.2501037412, 'snd_cwnd': 37648, 'retransmits': 0, 'rttvar': 18658, 'end': 30.000063, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000070333480835, 'omitted': False, 'sender': True, 'rtt': 70904, 'bytes': 262144, 'start': 29.000056}
2022-11-02 17:28:17,014 INFO     Starting iperf3 client: iperf3 -c 172.16.0.3 -p 5204 -t 30 -b 2M --json --logfile /logs/iperf-ue2.json
2022-11-02 17:28:52,173 INFO     ts_ms:1667410098013 stream:{'bits_per_second': 637084.988687064, 'snd_cwnd': 14480, 'retransmits': 1, 'rttvar': 557816, 'end': 1.000055, 'pmtu': 1500, 'socket': 6, 'seconds': 1.000054955482483, 'omitted': False, 'sender': True, 'rtt': 952983, 'bytes': 79640, 'start': 0}
2022-11-02 17:28:52,173 INFO     ts_ms:1667410099013 stream:{'bits_per_second': 0, 'snd_cwnd': 31856, 'retransmits': 0, 'rttvar': 679342, 'end': 2.000055, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 947979, 'bytes': 0, 'start': 1.000055}
